0,0
0.01,0
0.02,0
0.03,0
0.04,0
0.05,0
0.06,0
0.07,0
0.08,0
0.09,0
0.1,0
0.11,0
0.12,0
0.13,0
0.14,0
0.15,0
0.16,0.0199
0.17,0.0247
0.18,0.0256
0.19,0.0256
0.2,0.0256
0.21,0.0256
0.22,0.0256
0.23,0.0256
0.24,0.0256
0.25,0.0256
0.26,0.0256
0.27,0.0256
0.28,0.0481
0.29,0.0522
0.3,0.0522
0.31,0.0522
0.32,0.0522
0.33,0.0522
0.34,0.0522
0.35,0.0522
0.36,0.0615
0.37,0.0615
0.38,0.0615
0.39,0.0615
0.4,0.0615
0.41,0.0615
0.42,0.0808
0.43,0.0822
0.44,0.0822
0.45,0.0822
0.46,0.0822
0.47,0.0822
0.48,0.0822
0.49,0.0822
0.5,0.0822
0.51,0.0831
0.52,0.0842
0.53,0.0855
0.54,0.0868
0.55,0.0883
0.56,0.0896
0.57,0.091
0.58,0.0934
0.59,0.0959
0.6,0.0976
0.61,0.0986
0.62,0.1004
0.63,0.1019
0.64,0.1083
0.65,0.1135
0.66,0.117
0.67,0.1192
0.68,0.123
0.69,0.1287
0.7,0.1328
0.71,0.1365
0.72,0.1388
0.73,0.1409
0.74,0.1443
0.75,0.1478
0.76,0.1514
0.77,0.1551
0.78,0.1587
0.79,0.1633
0.8,0.1676
0.81,0.1715
0.82,0.1754
0.83,0.1789
0.84,0.1829
0.85,0.1866
0.86,0.1902
0.87,0.1935
0.88,0.1976
0.89,0.2017
0.9,0.206
0.91,0.2103
0.92,0.2143
0.93,0.2186
0.94,0.2228
0.95,0.2265
0.96,0.2303
0.97,0.2349
0.98,0.2399
0.99,0.2449
1,0.2496
1.01,0.2541
1.02,0.2594
1.03,0.2647
1.04,0.2698
1.05,0.2745
1.06,0.2791
1.07,0.2838
1.08,0.2884
1.09,0.2929
1.1,0.2975
1.11,0.3024
1.12,0.3085
1.13,0.3144
1.14,0.3198
1.15,0.3251
1.16,0.3301
1.17,0.3351
1.18,0.34
1.19,0.3448
1.2,0.3496
1.21,0.3544
1.22,0.3602
1.23,0.3657
1.24,0.3709
1.25,0.3761
1.26,0.3812
1.27,0.3862
1.28,0.3911
1.29,0.396
1.3,0.4009
1.31,0.4058
1.32,0.4106
1.33,0.4155
1.34,0.4204
1.35,0.4253
1.36,0.4303
1.37,0.4353
1.38,0.4418
1.39,0.4478
1.4,0.4533
1.41,0.4586
1.42,0.4637
1.43,0.4686
1.44,0.4735
1.45,0.4782
1.46,0.4829
1.47,0.4876
1.48,0.4923
1.49,0.4969
1.5,0.5017
1.51,0.5066
1.52,0.5115
1.53,0.5163
1.54,0.5212
1.55,0.526
1.56,0.5309
1.57,0.5357
1.58,0.5405
1.59,0.5454
1.6,0.5502
1.61,0.555
1.62,0.5598
1.63,0.5647
1.64,0.5695
1.65,0.5742
1.66,0.579
1.67,0.5838
1.68,0.5886
1.69,0.5932
1.7,0.5983
1.71,0.6033
1.72,0.609
1.73,0.6145
1.74,0.6198
1.75,0.625
1.76,0.6302
1.77,0.6352
1.78,0.6402
1.79,0.6452
1.8,0.6499
1.81,0.655
1.82,0.66
1.83,0.665
1.84,0.67
1.85,0.675
1.86,0.6798
1.87,0.6847
1.88,0.6895
1.89,0.6944
1.9,0.6992
1.91,0.7041
1.92,0.7089
1.93,0.7138
1.94,0.7186
1.95,0.7235
1.96,0.7283
1.97,0.7332
1.98,0.738
1.99,0.7429
2,0.7477
2.01,0.7526
2.02,0.7574
2.03,0.7623
2.04,0.7671
2.05,0.772
2.06,0.7768
2.07,0.7817
2.08,0.7865
2.09,0.7914
2.1,0.7962
2.11,0.8011
2.12,0.8059
2.13,0.8108
2.14,0.8156
2.15,0.8205
2.16,0.8253
2.17,0.8302
2.18,0.8351
2.19,0.8399
2.2,0.8448
2.21,0.8496
2.22,0.8545
2.23,0.8593
2.24,0.8642
2.25,0.8691
2.26,0.8739
2.27,0.8788
2.28,0.8837
2.29,0.8885
2.3,0.8934
2.31,0.8982
2.32,0.9031
2.33,0.908
2.34,0.9128
2.35,0.9177
2.36,0.9226
2.37,0.9274
2.38,0.9323
2.39,0.9372
2.4,0.9421
2.41,0.9469
2.42,0.9518
2.43,0.9567
2.44,0.9615
2.45,0.9664
2.46,0.9713
2.47,0.9762
2.48,0.981
2.49,0.9859
2.5,0.9908
2.51,0.9957
2.52,1.0005
2.53,1.0054
2.54,1.0103
2.55,1.0152
2.56,1.02
2.57,1.0249
2.58,1.0298
2.59,1.0347
2.6,1.0396
2.61,1.0444
2.62,1.0493
2.63,1.0542
2.64,1.0591
2.65,1.0639
2.66,1.0688
2.67,1.0737
2.68,1.0786
2.69,1.0835
2.7,1.0884
2.71,1.0932
2.72,1.0981
2.73,1.103
2.74,1.1079
2.75,1.1128
2.76,1.1176
2.77,1.1225
2.78,1.1274
2.79,1.1323
2.8,1.1372
2.81,1.1421
2.82,1.147
2.83,1.1519
2.84,1.1567
2.85,1.1616
2.86,1.1665
2.87,1.1714
2.88,1.1763
2.89,1.1812
2.9,1.1861
2.91,1.191
2.92,1.1959
2.93,1.2008
2.94,1.2057
2.95,1.2106
2.96,1.2155
2.97,1.2203
2.98,1.2252
2.99,1.2301
3,1.235
3.01,1.2399
3.02,1.2448
3.03,1.2498
